,path,pol,id,mod_time,t,abs
36,data/UV/181120_dpp_cn10_v30_t125/para/para_00036.txt,para,36,8.0,3.6,[0.20913043 0.22304348 0.20034043 ... 0.06848837 0.00928571 0.00480952]
37,data/UV/181120_dpp_cn10_v30_t125/para/para_00037.txt,para,37,8.0,3.7,[0.22082609 0.21126087 0.19053191 ... 0.04562791 0.01171429 0.00833333]
38,data/UV/181120_dpp_cn10_v30_t125/para/para_00038.txt,para,38,8.0,3.8000000000000003,"[ 0.21330435  0.20873913  0.19976596 ...  0.04644186  0.021
 -0.01238095]"
39,data/UV/181120_dpp_cn10_v30_t125/para/para_00039.txt,para,39,8.0,3.9000000000000004,"[ 0.191       0.20186957  0.19346809 ...  0.0332093   0.05485714
 -0.00811905]"
40,data/UV/181120_dpp_cn10_v30_t125/para/para_00040.txt,para,40,8.0,4.0,"[ 0.21769565  0.20769565  0.20555319 ...  0.07467442  0.023
 -0.02409524]"
41,data/UV/181120_dpp_cn10_v30_t125/para/para_00041.txt,para,41,8.0,4.1000000000000005,[0.20969565 0.20969565 0.19308511 ... 0.06527907 0.02871429 0.00721429]
42,data/UV/181120_dpp_cn10_v30_t125/para/para_00042.txt,para,42,8.0,4.2,[0.20391304 0.19195652 0.19517021 ... 0.07602326 0.04328571 0.02038095]
43,data/UV/181120_dpp_cn10_v30_t125/para/para_00043.txt,para,43,8.0,4.3,"[ 0.20543478  0.21021739  0.1956383  ...  0.0494186   0.03842857
 -0.01366667]"
44,data/UV/181120_dpp_cn10_v30_t125/para/para_00044.txt,para,44,8.0,4.4,"[ 0.20134783  0.19678261  0.20489362 ...  0.01753488  0.01914286
 -0.01002381]"
45,data/UV/181120_dpp_cn10_v30_t125/para/para_00045.txt,para,45,8.0,4.5,"[ 0.20321739  0.19017391  0.19395745 ...  0.04955814  0.01385714
 -0.01283333]"
46,data/UV/181120_dpp_cn10_v30_t125/para/para_00046.txt,para,46,10.0,4.6000000000000005,"[ 0.20143478  0.20534783  0.20070213 ...  0.02027907  0.062
 -0.00738095]"
47,data/UV/181120_dpp_cn10_v30_t125/para/para_00047.txt,para,47,10.0,4.7,[0.20373913 0.20852174 0.20187234 ... 0.06888372 0.01885714 0.05309524]
