,param,val
0,dist,0.21441742275972592
1,poni1,0.052013113573906575
2,poni2,0.0690392473845482
3,wavelength,1.1286670909090908e-10
4,rot1,0.29496064358704166
5,rot2,0.22165681500327983
6,rot3,-1.53588974175501
7,det_pix,0.0001017
